Premises	English URLs	证据	Mandarin URLs
U.S. District Judge Ronald M. Whyte cited in his preliminary decision: "The plaintiffs have shown at least that serious questions are raised concerning the States' ability to restrict minors' First Amendment rights in connection with exposure to violent video games, including the question of whether there is a causal connection between access to such games and psychological or other harm to children."[REF] In August 2007, Whyte ultimately ruled for the plaintiffs, holding that the law violated the First Amendment	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	审理此案的法官罗纳德·M·怀特说：“原告已经表明该法案赋予政府的权力有严重的问题，首先禁止未成年人购买暴力游戏违反了第一修正案，其次立法机关并未证明未成年人的暴力倾向与他们购买的游戏有必然的直接联系。”[15] 2007年8月，怀特法官最终裁决原告胜诉，认为加州该法案违反了“第一修正案”	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
Justice Thomas, in his dissent, considered that historically, the Founding Fathers "believed parents to have complete authority over their minor children and expected parents to direct the development of those children	https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Ass%27n	托马斯大法官认为，从历史上看，美国的开国元勋们所指定的第一修正案所保护的内容“不包括未经父母或监护人同意，向孩子灌输某种内容的权利或由孩子另外接受某种内容的权利	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%9C%97%E8%A8%B4%E5%A8%9B%E6%A8%82%E5%95%86%E6%A5%AD%E5%8D%94%E6%9C%83%E6%A1%88
Knight sees abstinence from reproduction as an altruistic choice[REF]&nbsp;– a way to prevent involuntary human suffering[REF]&nbsp;– and cites the deaths of children from preventable causes as an example of needless suffering [REF	https://en.wikipedia.org/wiki/Voluntary_Human_Extinction_Movement	奈特认为，停止繁殖是利他主义选择[5]，是避免非自愿性人类痛苦的有效方式[17]，在他看来，儿童因可预防原因而死，也是典型的“无谓的痛苦	https://zh.wikipedia.org/wiki/%E4%BA%BA%E7%B1%BB%E8%87%AA%E6%84%BF%E7%81%AD%E7%BB%9D%E8%BF%90%E5%8A%A8
Proclamation of Teheran was the first international document to recognize one of these rights when it stated that: "Parents have a basic human right to determine freely and responsibly the number and the spacing of their children."	https://en.wikipedia.org/wiki/Reproductive_rights	《德黑兰宣言》首次提出生育权是基本人权，内容包括自由负责地决定子女人数和生育间隔	https://zh.wikipedia.org/wiki/%E7%94%9F%E8%82%B2%E6%9D%83
In both children and adults, there is an association between television viewing time and the risk of obesity [REF]. A 2008 meta-analysis found 63 of 73 studies (86%) showed an increased rate of childhood obesity with increased media exposure, with rates increasing proportionally to time spent watching television [REF	https://en.wikipedia.org/wiki/Obesity	不论在儿童或成人，看电视的时间与肥胖的风险都有关联[107][108][109]。一篇评论性文章指出，在针对儿童肥胖的73个研究中，有63个（86%）都发现儿童和媒体的接触频率与儿童的肥胖率会同步上升，且上升的程度与看电视的时间成正相关	https://zh.wikipedia.org/wiki/%E8%82%A5%E8%83%96%E7%97%87
In both children and adults, there is an association between television viewing time and the risk of obesity [REF]. A 2008 meta-analysis found 63 of 73 studies (86%) showed an increased rate of childhood obesity with increased media exposure, with rates increasing proportionally to time spent watching television [REF	https://en.wikipedia.org/wiki/Obesity	不论在儿童或成人，看电视的时间与肥胖的风险都有关联[107][108][109]。一篇评论性文章指出，在针对儿童肥胖的73个研究中，有63个（86%）都发现儿童和媒体的接触频率与儿童的肥胖率会同步上升，且上升的程度与看电视的时间成正相关	https://zh.wikipedia.org/wiki/%E8%82%A5%E8%83%96%E7%97%87
As with obesity in adults, many factors contribute to the rising rates of childhood obesity. Changing diet and decreasing physical activity are believed to be the two most important causes for the recent increase in the incidence of child obesity	https://en.wikipedia.org/wiki/Obesity	如同成人的肥胖，儿童肥胖也受许多不同的因素影响。饮食习惯改变与运动量下降被认为是近年来儿童肥胖率上升的主要推手	https://zh.wikipedia.org/wiki/%E8%82%A5%E8%83%96%E7%97%87
In 1883, The Pendleton Civil Service Reform Act was passed, stipulating government jobs should be awarded on the basis of merit through competitive exams, rather than ties to politicians or political affiliation [REF	https://en.wikipedia.org/wiki/Meritocracy	1883年）美国联邦政府通过了彭德尔顿法案，并将它加以修补，该法案规定,政府的工作人员应使用竞争性考试来选拔，并在这一基础上授予职位，而不是通过政客或政治背景的内部关系来给予一定的职位	https://zh.wikipedia.org/wiki/%E7%B2%BE%E8%8B%B1%E6%94%BF%E6%B2%BB
The term gambling addiction has long been used in the recovery movement.[1] Pathological gambling was long considered by the American Psychiatric Association to be an impulse control disorder rather than an addiction	https://en.wikipedia.org/wiki/Problem_gambling	根据《美国精神科协会》的定义，病态赌博被归类为冲动控制问题，而不是成瘾症的一种	https://zh.wikipedia.org/zh-cn/%E8%B3%AD%E5%8D%9A%E6%88%90%E7%99%AE
In the 1970s, UNHCR refugee operations continued to spread around the globe, with the mass exodus of East Pakistanis to India shortly before the birth of Bangladesh. Adding to the woes in Asia was the Vietnam war, with millions fleeing the war-torn country [REF	https://en.wikipedia.org/wiki/United_Nations_High_Commissioner_for_Refugees	于1970年代，难民署的援助难民工作扩张至全球范围，其中包括产生大量难民的巴勒斯坦冲突和印度与孟加拉之间的冲突。另外，越南战争也导致逾百万越南难民逃离本国	https://zh.wikipedia.org/zh-cn/%E8%81%94%E5%90%88%E5%9B%BD%E9%9A%BE%E6%B0%91%E7%BD%B2
A. J. Ayer asserted the unverifiability and meaninglessness of religious statements, citing his adherence to the empirical sciences	https://en.wikipedia.org/wiki/Atheism	A.J.艾耶尔断言宗教陈述具有不可证明性与无意义性，援引了自己对经验科学的坚定信仰	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
Karl Marx and Friedrich Engels, influenced by the work of Feuerbach, argued that belief in God and religion are social functions, used by those in power to oppress the working class	https://en.wikipedia.org/wiki/Atheism	受费尔巴哈的影响，卡尔·马克思和弗里德里希·恩格斯研究神与宗教的社会功能并作出结论，认为它们是统治阶级用来压迫劳动阶级的工具	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
Critias viewed religion as a human invention used to frighten people into following moral order [REF	https://en.wikipedia.org/wiki/Atheism	克里提亚斯把宗教看成是人类的发明，其目的是恐吓其他人，好让他们接受道德规范	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
Euhemerus (c. 330–260 BCE) published his view that the gods were only the deified rulers, conquerors and founders of the past, and that their cults and religions were in essence the continuation of vanished kingdoms and earlier political structures [REF	https://en.wikipedia.org/wiki/Atheism	犹希迈罗斯（Euhemerus，约公元前330年–260年）认为神来源于受人崇拜的古代征服者，而他们的宗教信仰在本质上其实是对那些早已消失的王国与政体的延续	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
Karl Marx and Friedrich Engels, influenced by the work of Feuerbach, argued that belief in God and religion are social functions, used by those in power to oppress the working class	https://en.wikipedia.org/wiki/Atheism	受费尔巴哈的影响，卡尔·马克思和弗里德里希·恩格斯研究神与宗教的社会功能并作出结论，认为它们是统治阶级用来压迫劳动阶级的工具	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
Karl Marx and Friedrich Engels, influenced by the work of Feuerbach, argued that belief in God and religion are social functions, used by those in power to oppress the working class	https://en.wikipedia.org/wiki/Atheism	受费尔巴哈的影响，卡尔·马克思和弗里德里希·恩格斯研究神与宗教的社会功能并作出结论，认为它们是统治阶级用来压迫劳动阶级的工具	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
Karl Marx and Friedrich Engels, influenced by the work of Feuerbach, argued that belief in God and religion are social functions, used by those in power to oppress the working class	https://en.wikipedia.org/wiki/Atheism	受费尔巴哈的影响，卡尔·马克思和弗里德里希·恩格斯研究神与宗教的社会功能并作出结论，认为它们是统治阶级用来压迫劳动阶级的工具	https://zh.wikipedia.org/zh-cn/%E6%97%A0%E7%A5%9E%E8%AE%BA
